Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
Mr Loverman,Bernardine Evaristo,eBook,15.99,,None,None,None,None
Mr Loverman,Bernardine Evaristo,eBook,15.99,,None,None,None,None
Mr Loverman,Bernardine Evaristo,eBook,15.99,,None,None,None,None
Mr Loverman,Bernardine Evaristo,eBook,15.99,,None,None,None,None
Mr Loverman,Bernardine Evaristo,eBook,15.99,,None,None,None,None
Mr Loverman,Bernardine Evaristo,eBook,15.99,,None,None,None,None
Mr Loverman,Bernardine Evaristo,eBook,15.99,,None,None,None,None
Mr Loverman,Bernardine Evaristo,eBook,15.99,,None,None,None,None
The Girl On Legare Street,Karen White,eBook,10.27,9.99,None,None,None,None
The Girl On Legare Street,Karen White,eBook,10.27,9.99,None,None,None,None
The Girl On Legare Street,Karen White,eBook,10.27,9.99,None,None,None,None
The Girl On Legare Street,Karen White,eBook,10.27,9.99,None,None,None,None
The Girl On Legare Street,Karen White,eBook,10.27,9.99,None,None,None,None
The Girl On Legare Street,Karen White,eBook,10.27,9.99,None,None,None,None
The Girl On Legare Street,Karen White,eBook,10.27,9.99,None,None,None,None
The Girl On Legare Street,Karen White,eBook,10.27,9.99,None,None,None,None
The Girl On Legare Street,Karen White,eBook,10.27,9.99,None,None,None,None
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,None,None,None,None
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,None,None,None,None
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,None,None,None,None
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,None,None,None,None
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,None,None,None,None
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,None,None,None,None
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,None,None,None,None
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,None,None,None,None
Our Man in Charleston,Christopher Dickey,eBook,25.70,20.99,None,None,None,None
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,12.99,,None,None,None,None
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,12.99,,None,None,None,None
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,12.99,,None,None,None,None
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,12.99,,None,None,None,None
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,12.99,,None,None,None,None
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,12.99,,None,None,None,None
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,eBook,12.99,,None,None,None,None
